Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
opulence;1196;0.030;0.030;0.000;0.750;0.750;0.000
ostentatoire;3424;0.140;0.070;-0.070;0.600;0.600;0.000
ostracisme;2450;0.227;0.190;-0.037;0.750;0.750;0.000
outrageux;323;0.516;0.516;0.000;0.600;0.600;0.000
outrecuidance;4491;0.285;0.080;-0.205;0.750;0.750;0.000
outrecuidant;1827;0.506;0.434;-0.072;0.600;0.600;0.000
paladin;1392;0.290;0.193;-0.097;0.250;0.250;0.000
palefrenier;1601;0.283;0.263;-0.020;0.250;0.250;0.000
parangon;14302;0.157;0.030;-0.127;0.600;0.600;0.000
paria;3679;0.052;0.000;-0.052;0.600;0.600;0.000
parjure;1171;0.086;0.079;-0.007;0.600;0.600;0.000
patricien;1074;0.449;0.437;-0.012;0.600;0.600;0.000
pernicieux;4007;0.177;0.050;-0.127;0.600;0.600;0.000
plébéien;2189;0.396;0.250;-0.146;0.600;0.600;0.000
pointilleux;1291;0.220;0.173;-0.047;0.600;0.600;0.000
potentat;1623;0.396;0.376;-0.020;0.600;0.600;0.000
preux;3845;0.056;0.001;-0.055;0.600;0.600;0.000
probe;2285;0.354;0.320;-0.034;0.600;0.600;0.000
procrastination;1454;0.080;0.535;0.455;0.750;0.750;0.000
prodigalité;1175;0.213;0.191;-0.022;0.750;0.750;0.000
précepteur;1123;0.050;0.050;0.000;0.600;0.600;0.000
préséance;1377;0.339;0.294;-0.045;0.750;0.750;0.000
pugnace;2458;0.511;0.376;-0.135;0.600;0.600;0.000
pusillanime;10839;0.246;0.060;-0.186;0.600;0.600;0.000
renégat;1844;0.134;0.020;-0.114;0.600;0.600;0.000
sardonique;4018;0.203;0.146;-0.057;0.650;0.650;0.000
satyre;4088;0.010;0.010;0.000;0.250;0.250;0.000
sbire;4939;0.317;0.251;-0.066;0.250;0.935;0.685
scabreux;2482;0.157;0.030;-0.127;0.600;0.600;0.000
scrupuleux;778;0.050;0.050;0.000;0.600;0.600;0.000
scélérat;3112;0.030;0.030;0.000;0.600;0.600;0.000
sicaire;2500;0.653;0.635;-0.018;0.300;0.300;0.000
simagrée;3991;0.416;0.388;-0.028;0.600;0.600;0.000
sourcilleux;384;0.174;0.174;0.000;0.600;0.600;0.000
spadassin;1285;0.263;0.252;-0.011;0.250;0.250;0.000
suzerain;1588;0.329;0.310;-0.019;0.600;0.600;0.000
sycophante;5175;0.811;0.779;-0.032;0.600;0.600;0.000
taciturne;4442;0.040;0.040;0.000;0.600;0.600;0.000
thuriféraire;3793;0.533;0.366;-0.167;0.650;0.650;0.000
turpitude;3406;0.367;0.317;-0.050;0.750;0.750;0.000
urbanité;1232;0.357;0.349;-0.008;0.750;0.750;0.000
valétudinaire;8831;0.488;0.232;-0.256;0.650;0.650;0.000
velléité;5128;0.082;0.030;-0.052;0.750;0.750;0.000
vergogne;3677;0.030;0.030;0.000;0.600;0.600;0.000
viateur;0;1.000;1.000;0.000;0.600;0.600;0.000
vilipender;2666;0.521;0.502;-0.019;0.600;0.600;0.000
vitriolique;374;0.753;0.753;0.000;0.650;0.650;0.000
égrotant;1814;0.467;0.395;-0.072;0.600;0.600;0.000
érémitique;1276;1.000;0.522;-0.478;0.650;0.650;0.000
aurore;4746;0.010;0.010;0.000;0.050;0.415;0.365
clair-obscur;1456;0.113;0.070;-0.043;0.500;0.500;0.000
