mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire
vipère;1.0;0.6369;3.52;0.968;littéraire;Nature & Cosmos
vénusté;1.0;0.6369;2.531;10.0;littéraire;Nature & Cosmos
contempteur;1.0;0.6358;2.431;27.0;littéraire;Esprit & Caractère
fantasquement;1.0;0.6354;1.845;10.0;littéraire;Sentiments & Psyché
périphrase;1.0;0.6351;2.146;1.273;littéraire;Art & Langage
spondée;1.0;0.6348;1.845;10.0;littéraire;Nature & Cosmos
incréé;1.0;0.6339;2.146;10.0;littéraire;Esprit & Caractère
cygne;1.0;0.6338;3.668;0.883;poétique;Nature & Cosmos
trémuler;1.0;0.6334;2.301;10.0;littéraire;Art & Langage
séraphique;1.0;0.6323;2.531;10.0;littéraire;Art & Langage
sceptre;1.0;0.6316;3.152;0.882;soutenu;Art & Langage
cascadeur;1.0;0.6307;2.146;0.074;littéraire;Art & Langage
sangle;1.0;0.6304;3.348;3.78;archaïque;Nature & Cosmos
bellement;1.0;0.6295;2.732;3.857;littéraire;Esprit & Caractère
extatique;1.0;0.6295;3.004;4.591;soutenu;Philosophie & Idées
tétin;1.0;0.629;2.301;10.0;littéraire;Nature & Cosmos
passerelle;1.0;0.6289;3.927;1.916;archaïque;Nature & Cosmos
faunesque;1.0;0.6281;1.845;10.0;littéraire;Lumière & Ombres
humilié;1.0;0.6281;3.334;1.982;archaïque;Sentiments & Psyché
dubitation;1.0;0.628;1.845;10.0;littéraire;Sentiments & Psyché
tourte;1.0;0.6277;2.732;0.524;poétique;Nature & Cosmos
martyre;1.0;0.6274;3.784;1.831;poétique;Esprit & Caractère
proéminer;1.0;0.6274;1.845;10.0;littéraire;Esprit & Caractère
vestige;1.0;0.6274;3.789;6.543;soutenu;Temps & Éphémère
poncif;1.0;0.6271;2.672;10.0;littéraire;Nature & Cosmos
matutinal;1.0;0.6269;2.146;10.0;littéraire;Temps & Éphémère
artificieux;1.0;0.6267;1.845;10.0;littéraire;Esprit & Caractère
accort;1.0;0.6264;2.431;13.5;littéraire;Esprit & Caractère
assomption;1.0;0.6255;2.613;10.0;soutenu;Sentiments & Psyché
crépusculaire;1.0;0.6249;3.276;50.0;littéraire;Lumière & Ombres
virilité;1.0;0.6249;3.803;2.581;littéraire;Esprit & Caractère
hyperbole;1.0;0.6242;2.301;2.222;littéraire;Philosophie & Idées
sommeiller;1.0;0.6241;3.276;37.8;poétique;Nature & Cosmos
infortuné;1.0;0.6237;3.246;2.411;soutenu;Sentiments & Psyché
seoir;1.0;0.6237;3.453;1.701;littéraire+soutenu;Nature & Cosmos
furie;1.0;0.6236;3.744;2.702;poétique;Sentiments & Psyché
émacié;1.0;0.623;3.307;50.0;soutenu;Nature & Cosmos
adulateur;1.0;0.6225;1.845;10.0;poétique+soutenu;Esprit & Caractère
courtil;1.0;0.622;1.845;10.0;poétique;Nature & Cosmos
admonition;1.0;0.6219;2.146;14.0;soutenu;Sentiments & Psyché
froidure;1.0;0.6212;3.19;14.091;littéraire+poétique;Sentiments & Psyché
vibratile;1.0;0.621;2.301;20.0;littéraire;Nature & Cosmos
surréel;1.0;0.6207;2.301;10.0;littéraire;Temps & Éphémère
aimeur;1.0;0.6206;1.845;10.0;littéraire;Art & Langage
onéreux;1.0;0.6204;2.833;1.133;littéraire;Esprit & Caractère
ligneux;1.0;0.6201;2.301;10.0;littéraire;Nature & Cosmos
chevaucheur;1.0;0.62;1.845;10.0;littéraire;Art & Langage
disant;1.0;0.62;3.847;5.535;littéraire;Sentiments & Psyché
astreinte;1.0;0.6197;1.845;3.5;littéraire;Esprit & Caractère
lèche;1.0;0.6197;2.833;0.493;archaïque;Nature & Cosmos
chaumine;1.0;0.6195;2.613;3.727;littéraire;Art & Langage
faucille;1.0;0.6195;3.348;4.373;poétique;Nature & Cosmos
paronomasie;1.0;0.6192;1.845;10.0;archaïque;Philosophie & Idées
quantième;1.0;0.6191;1.845;10.0;littéraire;Philosophie & Idées
cavale;1.0;0.619;3.629;1.101;littéraire+poétique;Nature & Cosmos
insulter;1.0;0.619;3.808;0.95;littéraire;Esprit & Caractère
ponctuer;1.0;0.6188;3.334;50.0;littéraire;Art & Langage
commodité;1.0;0.6184;3.276;7.269;archaïque+soutenu;Temps & Éphémère
fondement;1.0;0.618;3.386;1.381;poétique;Nature & Cosmos
salacité;1.0;0.6179;2.146;10.0;littéraire;Sentiments & Psyché
ailé;1.0;0.6176;3.152;2.0;poétique;Nature & Cosmos
coutumier;1.0;0.6176;3.41;12.85;littéraire;Esprit & Caractère
éonisme;1.0;0.6175;1.845;10.0;littéraire;Philosophie & Idées
vitré;1.0;0.6174;4.05;37.4;archaïque;Nature & Cosmos
nonchalance;1.0;0.6171;3.699;10.638;littéraire;Sentiments & Psyché
déparer;1.0;0.617;2.672;4.273;soutenu;Sentiments & Psyché
écrin;1.0;0.6166;3.529;9.389;poétique;Nature & Cosmos
vastitude;1.0;0.6162;2.301;10.0;littéraire;Sentiments & Psyché
oublieux;1.0;0.6161;3.107;2.844;archaïque;Esprit & Caractère
difficultueux;1.0;0.6154;1.845;10.0;littéraire;Esprit & Caractère
signifiance;1.0;0.6151;1.845;0.5;littéraire;Philosophie & Idées
bouvier;1.0;0.6149;2.833;5.667;littéraire;Esprit & Caractère
orbe;1.0;0.6149;3.004;2.196;poétique;Nature & Cosmos
chalumeau;1.0;0.6148;3.373;1.484;poétique;Lumière & Ombres
logorrhée;1.0;0.6145;2.431;4.5;littéraire;Art & Langage
trame;1.0;0.6142;3.722;12.256;poétique;Nature & Cosmos
occire;1.0;0.614;2.613;4.1;littéraire;Nature & Cosmos
barde;1.0;0.6139;2.613;2.278;littéraire;Art & Langage
sidérer;1.0;0.6135;3.061;2.738;soutenu;Nature & Cosmos
sylvain;1.0;0.6134;1.845;10.0;littéraire;Nature & Cosmos
objurgation;1.0;0.6133;3.276;10.0;littéraire;Esprit & Caractère
captif;1.0;0.6131;3.334;3.429;soutenu;Esprit & Caractère
coquebin;1.0;0.6129;2.531;10.0;littéraire;Nature & Cosmos
faunesse;1.0;0.6126;1.845;10.0;poétique;Esprit & Caractère
loisible;1.0;0.6123;2.869;10.0;littéraire+soutenu;Esprit & Caractère
civilement;1.0;0.6121;2.869;18.5;archaïque;Esprit & Caractère
