Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
corridor	4.64	1.54	1.0184	5.94	1.54	-0.6695
cortège	2.00	1.02	-0.7202	3.72	4.58	1.5452
corvée	3.35	1.63	1.6771	3.32	3.13	-0.2330
cosse	1.59	1.10	0.7420	2.13	3.65	1.6378
costume	4.32	1.45	0.0899	5.50	1.85	-0.9803
cotation	2.64	1.13	-1.2689	2.25	2.28	0.0340
côte	4.51	1.34	-0.6263	5.11	2.82	-0.5013
côté	5.36	1.31	0.1531	4.02	3.28	-0.3267
coteau	2.32	1.48	1.7172	2.97	5.20	3.0640
cotisation	3.20	1.51	0.7773	2.84	2.72	-0.2751
coton	4.54	1.40	-0.1640	5.87	2.13	-0.3736
cou	4.93	1.73	2.9755	6.59	0.66	-0.0178
couard	1.27	0.61	-0.5877	1.84	2.53	0.8799
couche	4.40	1.65	1.7954	5.65	2.59	-0.2449
coucher	6.12	1.12	0.5070	4.27	3.61	0.0741
coude	4.25	1.65	1.7257	6.38	1.04	-0.2572
couffin	1.63	0.96	-0.1393	1.88	2.86	1.1240
couleur	5.61	1.34	0.8173	5.00	3.17	-0.2066
couleuvre	2.92	1.34	-0.2451	6.68	0.32	0.0867
coupe	4.30	1.49	0.3968	5.15	3.42	0.1877
couple	5.54	1.18	-0.3990	5.23	2.13	-1.0174
couplet	3.23	1.52	0.8341	3.43	3.03	-0.4113
coupon	4.48	1.53	0.8183	5.96	1.06	-0.8620
coupure	4.09	1.48	0.2511	5.26	2.79	-0.4235
courage	4.81	1.39	-0.0045	3.00	2.62	-0.5136
courbature	2.56	1.44	0.9929	3.73	2.53	-1.0300
courbure	3.05	1.34	-0.3858	4.66	2.76	-0.8014
courgette	2.47	1.24	-0.3004	5.09	4.41	1.5104
couronne	3.43	1.51	0.6160	6.49	0.76	-0.1655
courroie	2.59	1.50	1.4199	4.15	4.00	0.5942
cousin	4.59	1.53	0.8960	5.06	3.06	-0.2854
coût	5.25	1.34	0.1911	3.26	3.76	0.5727
couteau	5.42	1.46	1.3706	6.58	0.71	-0.0235
coutume	4.02	1.29	-1.1730	3.43	2.40	-1.0100
couture	3.80	1.48	0.2436	5.06	2.76	-0.6003
couturier	3.16	1.48	0.5707	4.98	2.53	-0.8619
couvent	2.97	1.47	0.6795	5.02	3.06	-0.3108
couvercle	4.77	1.47	0.5699	6.18	1.49	-0.3651
couvert	4.65	1.48	0.5401	5.23	3.13	-0.0877
coyote	2.66	1.39	0.4614	6.16	1.77	-0.2331
crabe	3.21	1.62	1.6936	6.67	0.67	0.1295
crainte	4.06	1.40	-0.3729	3.00	2.56	-0.5725
crampon	2.36	1.11	-0.9294	4.68	4.62	1.6354
crâne	3.97	1.49	0.3160	6.62	0.55	0.0124
crapaud	3.04	1.45	0.4485	6.58	0.76	-0.0103
craque	4.31	1.60	1.3141	3.78	4.54	1.4581
craquement	3.41	1.19	-1.6928	3.34	2.86	-0.5377
cratère	2.34	1.11	-0.8931	5.45	2.34	-0.6647
cravate	4.01	1.69	2.0271	6.79	0.22	0.2824
crayon	5.45	1.42	1.1135	6.67	0.53	0.0999
créature	4.02	1.44	-0.0733	4.29	2.59	-1.0378
crédit	5.14	1.24	-0.6632	3.29	2.99	-0.3654
crème	5.02	1.38	0.1616	5.84	1.61	-0.7531
créole	2.38	1.44	1.2946	3.20	3.72	0.5627
crêpe	4.43	1.52	0.7057	6.52	0.79	-0.1048
crépuscule	2.46	1.16	-0.7992	4.13	3.65	0.1199
crête	2.49	1.08	-1.3306	3.76	4.33	1.1349
crevaison	3.13	1.26	-1.0213	5.40	2.28	-0.7600
crevasse	2.47	1.08	-1.2973	4.77	3.24	-0.2455
crevé	3.70	1.47	0.1844	3.29	2.53	-0.8180
crevette	4.02	1.41	-0.3029	6.58	0.74	-0.0148
crinière	2.44	1.06	-1.3614	5.15	3.88	0.7782
critère	4.61	1.25	-1.1788	2.38	1.88	-0.4376
critique	4.77	1.33	-0.4828	2.63	1.64	-0.8891
croc	2.27	1.14	-0.5812	3.61	5.48	3.1749
croche-pied	1.55	0.83	-0.5488	2.59	3.72	1.1302
crocodile	3.16	1.49	0.6504	6.86	0.11	0.4114
crosse	2.43	1.51	1.7616	3.50	4.71	1.8470
croupe	1.97	1.22	0.5500	2.47	3.72	1.2738
croyance	4.56	1.43	0.0785	2.71	2.19	-0.6039
cruauté	3.55	1.35	-0.6729	2.86	1.88	-0.9804
cruche	3.00	1.56	1.3794	5.61	2.40	-0.4545
crudité	3.38	1.34	-0.6553	4.94	3.65	0.3352
crypte	1.80	1.03	-0.1983	3.13	4.49	1.7296
cube	4.20	1.51	0.5202	6.53	0.67	-0.1185
cueillette	3.23	1.31	-0.7619	4.54	2.82	-0.7733
cuillère	5.73	1.37	1.2776	6.82	0.25	0.3424
cuir	4.35	1.35	-0.6477	5.90	2.07	-0.3791
cuisine	6.20	0.90	-0.4799	6.42	0.49	-0.3408
cuisinière	4.14	1.42	-0.2051	5.68	1.80	-0.8287
cuisse	5.14	1.45	0.8538	6.42	0.74	-0.2866
cuisson	4.44	1.37	-0.4526	4.36	2.69	-0.9391
culot	2.83	1.44	0.6103	2.98	3.61	0.5875
culture	5.00	1.37	0.0626	3.38	3.17	-0.2295
cumul	1.93	1.06	-0.3386	1.75	1.61	0.3674
curseur	3.21	1.61	1.6069	5.06	3.72	0.5076
cuvée	2.22	1.25	0.2217	3.38	3.03	-0.3834
cycliste	3.81	1.37	-0.5996	6.23	0.86	-0.5497
cyclone	2.38	1.34	0.5481	5.27	2.96	-0.2437
cylindre	3.14	1.33	-0.5435	6.37	0.64	-0.3920
cymbale	2.29	1.22	-0.1120	5.69	3.84	1.2167
daltonisme	2.90	1.49	0.9183	3.43	3.92	0.6828
damier	1.90	1.07	-0.2119	3.87	5.95	4.0568
dance	5.05	1.26	-0.6507	5.15	3.28	0.0147
danseur	4.43	1.49	0.4632	5.63	1.99	-0.7543
dauphin	3.55	1.63	1.5680	6.80	0.21	0.3008
dé	3.58	1.65	1.7317	6.30	2.40	0.4434
débâcle	1.78	0.96	-0.5232	1.67	1.28	0.3397
débat	4.62	1.31	-0.7583	3.56	3.17	-0.3215
débile	3.21	1.46	0.3702	2.76	2.25	-0.6096
débit	4.43	1.63	1.6362	3.05	2.56	-0.6142
débouché	3.58	1.19	-1.7767	2.79	2.07	-0.7746
débris	3.38	1.30	-0.9389	4.40	2.96	-0.6652
début	5.36	1.28	-0.0556	3.01	2.46	-0.6652
décalage	3.40	1.16	-1.8761	2.90	2.96	-0.0957
décembre	5.63	1.31	0.6430	3.83	3.88	0.4708
déception	3.64	1.16	-1.9877	2.76	2.25	-0.6096
décès	4.26	1.29	-1.1128	4.22	3.61	0.0714
décharge	3.26	1.17	-1.7178	3.09	2.72	-0.4949
déchet	4.80	1.47	0.5998	5.50	2.62	-0.3689
décimètre	2.80	1.29	-0.4511	4.41	3.42	-0.1411
décision	5.28	1.16	-0.9709	2.50	1.93	-0.5519
déclaration	4.11	1.29	-1.1582	2.69	1.88	-0.8073
déclic	2.69	1.43	0.7211	2.63	2.62	-0.1478
déclin	3.41	1.50	0.5467	2.69	2.16	-0.6051
décollage	3.60	1.21	-1.6555	4.31	2.76	-0.8817
décoration	4.55	1.30	-0.8819	4.80	2.89	-0.6105
découverte	4.55	1.32	-0.7412	3.08	2.10	-1.0147
décrépitude	1.69	0.96	-0.2959	1.69	1.39	0.3577
décret	2.04	1.24	0.5272	1.93	1.99	0.2997
déesse	2.73	1.40	0.4371	4.41	3.96	0.5589
défi	4.76	1.29	-0.7740	3.04	2.56	-0.6060
défiance	3.01	1.33	-0.4163	2.39	2.43	-0.0273
déficit	3.77	1.29	-1.1650	2.45	1.80	-0.5799
défilé	3.83	1.35	-0.7481	4.08	2.43	-1.1805
définition	5.26	1.38	0.4987	2.78	2.76	-0.1836
dégaine	1.66	1.01	0.0464	2.09	2.16	0.1741
dégât	4.40	1.59	1.2733	4.34	2.43	-1.1730
dégel	3.54	1.50	0.4796	3.94	3.20	-0.3979
dégoût	3.80	1.34	-0.8166	3.27	2.72	-0.6250
déguisement	3.76	1.27	-1.3007	4.72	1.99	-1.4209
déité	1.47	0.95	0.2476	1.97	2.19	0.3840
déjeuner	5.91	1.38	1.7456	5.43	2.59	-0.4647
délai	3.80	1.38	-0.5244	2.52	2.25	-0.3417
délégation	3.26	1.32	-0.7147	2.97	2.28	-0.7855
délégué	3.18	1.31	-0.7205	2.88	2.40	-0.6026
délicatesse	2.91	1.13	-1.6265	2.87	1.80	-1.0426
délire	3.35	1.41	-0.1190	3.09	2.43	-0.7577
délit	3.49	1.50	0.5031	2.63	2.40	-0.3445
délivrance	3.16	1.22	-1.3146	2.59	2.46	-0.2454
déluge	2.88	1.10	-1.7706	4.25	3.76	0.2726
demande	5.90	1.05	-0.4309	2.70	2.13	-0.6380
démarche	4.16	1.26	-1.3514	3.13	2.62	-0.6184
démêlage	2.76	1.35	0.0271	2.88	2.13	-0.8193
demeure	3.97	1.56	0.8894	4.31	3.84	0.3820
déminage	1.70	0.86	-0.8104	2.56	2.59	-0.0971
démocratie	4.47	1.36	-0.5075	2.63	2.16	-0.5390
démolition	3.23	1.28	-0.9706	4.11	2.43	-1.1821
démon	3.48	1.51	0.5890	5.37	2.43	-0.6589
dent	5.53	1.26	0.1066	6.77	0.37	0.2601
dentelle	3.50	1.42	-0.1292	6.34	0.79	-0.4014
département	5.19	1.35	0.1736	3.29	2.16	-1.1217
dépense	5.12	1.35	0.0740	3.47	3.28	-0.1560
dépit	2.93	1.52	1.1259	2.04	1.19	-0.3238
dépliant	3.70	1.38	-0.5045	5.22	2.43	-0.7819
dépôt	4.47	1.53	0.8119	3.45	2.62	-0.8239
dépotoir	3.23	1.30	-0.8320	5.16	3.20	-0.0604
député	3.63	1.50	0.4445	3.70	2.69	-0.8714
dérision	2.21	1.17	-0.2785	1.70	0.66	0.0736
derme	2.23	1.45	1.6523	4.00	5.02	2.2232
dernier	5.38	1.20	-0.5550	3.50	3.35	-0.0859
derrière	5.48	1.37	0.7923	3.83	3.35	-0.2076
désarroi	2.44	1.18	-0.6395	2.34	2.28	-0.0891
désastre	4.20	1.42	-0.1880	3.58	2.56	-0.9449
description	5.05	1.22	-0.9171	2.69	2.16	-0.6051
déséquilibre	3.80	1.31	-1.0301	3.25	2.53	-0.7917
désillusion	2.75	1.55	1.5982	1.95	1.54	-0.0130
désir	4.95	1.38	0.0758	2.94	2.40	-0.6578
dessein	2.52	1.49	1.4501	2.81	4.00	1.2691
destin	4.36	1.09	-2.3465	2.34	1.74	-0.4706
destination	4.36	1.16	-1.9235	3.13	2.99	-0.2533
destinée	3.77	1.39	-0.4453	2.16	2.19	0.0923
destruction	4.23	1.33	-0.8425	3.68	2.40	-1.1222
détection	3.90	1.33	-0.8967	2.54	1.93	-0.6001
détente	4.13	1.38	-0.5083	3.29	2.62	-0.7305
détermination	4.29	1.32	-0.8904	2.56	1.69	-0.7784
détonateur	2.25	1.25	0.1632	2.98	3.72	0.7361
détonation	2.48	1.27	-0.1149	2.68	2.69	-0.1419
détour	4.26	1.27	-1.2503	3.71	2.04	-1.4132
détresse	3.33	1.25	-1.2486	3.04	2.56	-0.6060
deuil	3.73	1.51	0.4973	3.50	2.76	-0.7248
devant	5.23	1.47	1.1418	3.65	3.42	-0.0632
développement	5.11	1.16	-1.2205	2.86	2.43	-0.5571
déviation	3.08	1.38	-0.1233	2.96	1.88	-1.0723
devin	2.22	1.17	-0.2982	2.57	3.39	0.7279
devinette	3.23	1.26	-1.1070	2.79	2.46	-0.4614
devis	1.97	1.02	-0.6531	2.11	2.43	0.3649
devise	3.19	1.31	-0.7290	2.50	2.37	-0.2183
dévoilement	3.16	1.30	-0.7732	3.14	2.69	-0.5648
devoir	6.01	1.20	0.7335	3.81	3.39	-0.1589
dévotion	2.90	1.40	0.2198	2.08	1.99	0.0628
dextérité	2.51	1.49	1.4664	2.68	2.22	-0.5485
diagnostic	3.94	1.37	-0.6068	2.79	2.50	-0.4338
diagonale	3.62	1.49	0.3676	5.09	3.50	0.2370
diapason	1.81	0.96	-0.5968	4.51	5.29	2.7498
diapositive	3.72	1.52	0.5809	5.13	2.43	-0.8479
dictaphone	1.50	0.65	-1.1259	3.04	3.92	0.9490
dictature	3.36	1.55	0.9873	3.11	3.17	-0.0472
dictée	3.94	1.60	1.2277	4.38	2.96	-0.6684
diction	2.61	1.27	-0.3216	2.51	2.25	-0.3296
dicton	2.45	1.04	-1.4912	2.65	2.04	-0.6474
dièdre	1.19	0.52	-0.6122	1.36	0.77	0.7582
diesel	3.66	1.47	0.1956	4.63	3.13	-0.4199
difficulté	5.29	1.10	-1.3193	2.63	2.62	-0.1478
diffusion	3.98	1.57	0.9740	3.00	2.69	-0.4525
digestion	4.38	1.45	0.1195	3.70	2.86	-0.7085
dignité	3.59	1.30	-1.0450	2.51	1.39	-0.8806
dilemme	3.90	1.37	-0.6067	2.58	2.22	-0.4361
diligence	2.21	1.26	0.3088	2.73	4.33	1.8302
dilution	2.79	1.53	1.3795	3.15	3.13	-0.1170
dimanche	6.14	1.07	0.2639	3.47	3.57	0.2015
diminutif	2.41	1.39	0.8617	2.44	2.02	-0.4188
dinde	3.97	1.52	0.5585	6.64	0.48	0.0354
dindon	3.20	1.60	1.5290	6.68	0.41	0.0976
dîner	5.81	1.23	0.4706	5.07	2.82	-0.5281
dînette	2.12	1.15	-0.2206	3.70	3.28	-0.2542
dinosaure	2.93	1.27	-0.7473	6.66	0.50	0.0764
diplôme	5.05	1.22	-0.9171	6.18	1.61	-0.2970
direction	5.05	1.44	0.6545	3.69	2.50	-1.0446
directive	4.47	1.39	-0.2859	2.98	2.37	-0.7191
disciple	3.02	1.42	0.2379	3.71	2.76	-0.8114
discipline	4.33	1.43	-0.0601	2.98	2.53	-0.5839
discorde	2.55	1.34	0.2621	2.47	2.28	-0.2565
discrétion	3.56	1.29	-1.1025	2.36	1.80	-0.4640
discussion	4.94	1.29	-0.5814	3.34	2.19	-1.1303
disparition	4.30	1.33	-0.8149	3.08	2.13	-0.9929
disparu	4.72	1.31	-0.6721	2.61	2.04	-0.6024
dispensaire	2.07	1.06	-0.6493	2.45	2.76	0.1908
disponibilité	4.80	1.42	0.2117	2.50	2.28	-0.2934
dispositif	3.04	1.21	-1.2659	2.80	2.43	-0.4985
disposition	3.73	1.15	-2.0744	2.54	2.25	-0.3656
dispute	4.18	1.53	0.6773	3.52	2.56	-0.9178
disque	5.05	1.33	-0.1638	6.37	1.28	-0.1766
disquette	5.02	1.29	-0.4838	6.67	0.50	0.0946
dissertation	4.58	1.37	-0.3577	3.76	3.39	-0.1449
distance	5.01	1.35	-0.0710	3.47	2.76	-0.7098
distinction	3.78	1.31	-1.0271	2.38	1.66	-0.5705
distorsion	3.13	1.35	-0.3904	2.76	2.28	-0.5855
distraction	4.06	1.29	-1.1676	2.63	1.85	-0.7592
distribution	3.98	1.18	-1.9062	2.83	2.53	-0.4454
diva	2.81	1.31	-0.3243	4.13	4.24	0.9488
diversité	4.32	1.38	-0.4421	2.83	2.34	-0.6062
divinité	2.77	1.25	-0.6845	2.87	3.20	0.1995
division	4.40	1.31	-0.9074	3.87	2.86	-0.7563
divorce	4.72	1.41	0.0584	3.83	2.99	-0.6058
dix	5.54	1.33	0.6121	5.15	4.24	1.2980
docteur	5.51	1.24	-0.0645	5.70	1.77	-0.8233
doctrine	3.06	1.51	0.9054	2.52	2.28	-0.3176
document	5.22	1.14	-1.1863	4.40	2.92	-0.7008
documentaire	4.34	1.27	-1.2155	3.88	2.79	-0.8254
documentation	4.36	1.47	0.2660	3.44	2.25	-1.1405
doigt	5.51	1.38	0.9206	6.92	0.07	0.5291
doigté	3.16	1.28	-0.9118	3.72	3.39	-0.1323
dol	1.55	1.01	0.3406	1.30	0.49	0.8191
dollar	5.84	1.21	0.4054	6.36	0.98	-0.3108
dom	1.49	1.02	0.5615	1.54	1.46	0.6734
domicile	3.90	1.48	0.2353	4.72	2.37	-1.1260
domination	3.64	1.54	0.7677	3.13	2.56	-0.6773
domino	2.91	1.47	0.7476	6.15	1.23	-0.5317
dompteur	2.20	1.09	-0.7443	4.37	3.88	0.4430
doré	3.69	1.51	0.5071	5.01	3.20	-0.1604
dortoir	2.70	1.23	-0.7218	5.30	3.13	-0.0318
dosage	3.09	1.30	-0.7088	3.15	2.72	-0.5409
double	4.95	1.41	0.3005	3.76	3.06	-0.5123
douceur	4.30	1.39	-0.3766	3.09	2.40	-0.7842
douche	5.80	1.31	0.9946	6.66	0.36	0.0544
douille	2.38	1.69	3.3961	3.69	5.62	3.4209
douillette	3.05	1.60	1.6671	5.41	3.31	0.2673
douve	1.67	0.98	-0.1400	1.74	1.80	0.4949
doux	4.86	1.42	0.2745	3.84	2.62	-0.9734
douze	5.36	1.31	0.1531	4.97	4.08	0.9416
dragée	1.81	1.01	-0.3323	2.16	2.19	0.0923
drapeau	4.47	1.24	-1.3454	6.71	0.34	0.1432
droit	5.66	1.08	-0.7736	3.48	4.16	1.0006
dromadaire	2.10	0.99	-1.0983	5.90	3.69	1.2594
dualisme	2.58	1.30	-0.0685	2.26	1.39	-0.5550
dualité	3.11	1.45	0.3801	2.66	2.28	-0.4790
duchesse	2.09	1.05	-0.7485	4.51	3.80	0.3642
dune	2.31	1.23	-0.0837	3.98	5.48	3.0735
durée	5.00	1.28	-0.5779	2.54	2.50	-0.1593
dureté	3.54	1.28	-1.1629	2.94	2.25	-0.7829
dynamique	3.76	1.35	-0.7378	3.06	2.13	-0.9769
ébullition	3.18	1.49	0.6331	4.76	3.17	-0.3308
écaille	2.81	1.43	0.5587	5.44	2.56	-0.4846
écart	3.90	1.30	-1.1086	3.48	2.10	-1.2745
échalote	2.90	1.50	0.9986	6.09	2.22	-0.0154
échange	4.56	1.37	-0.3727	3.41	2.56	-0.8612
écharpe	3.29	1.31	-0.8078	6.10	1.06	-0.6722
échauffement	3.30	1.34	-0.6015	3.11	3.03	-0.2011
échec	4.62	1.34	-0.5448	3.40	4.20	1.1036
échelle	4.38	1.45	0.1195	6.44	0.71	-0.2624
échine	1.68	0.97	-0.2183	2.16	3.17	1.0167
échiquier	2.22	1.16	-0.3608	4.25	5.02	2.2149
éclair	4.23	1.43	-0.1013	6.05	2.69	0.3358
éclairage	4.01	1.42	-0.2279	4.68	2.22	-1.2641
éclaircie	3.44	1.45	0.1334	3.81	2.79	-0.8088
éclat	3.57	1.31	-0.9670	3.70	2.86	-0.7085
éclatement	3.11	1.42	0.1488	3.70	2.82	-0.7423
éclosion	2.53	1.37	0.5123	3.65	2.86	-0.6904
école	6.02	1.15	0.4421	6.32	0.81	-0.4278
écolier	3.23	1.57	1.2491	5.26	2.28	-0.8784
économie	5.02	1.24	-0.8235	2.77	2.07	-0.7543
économique	4.69	1.43	0.1839	2.38	1.56	-0.6283
écorce	3.35	1.44	0.1106	6.21	1.56	-0.2809
écoute	5.86	1.16	0.1317	2.88	2.96	-0.0770
écouteur	4.48	1.31	-0.8596	5.63	2.43	-0.4069
écrevisse	2.22	1.07	-0.8998	5.08	4.67	1.9129
écritoire	1.73	0.92	-0.6000	3.16	3.76	0.6427
écrivain	3.68	1.21	-1.6816	4.75	2.53	-0.9784
écrou	2.00	0.97	-0.9874	3.23	5.11	2.6959
écu	1.47	0.76	-0.6250	2.48	3.96	1.5802
écueil	2.37	1.61	2.7050	2.48	3.46	0.9252
écume	2.16	1.16	-0.2408	4.14	3.53	-0.0244
écureuil	3.77	1.40	-0.3703	6.72	0.55	0.1947
écurie	2.83	1.32	-0.2792	5.86	2.04	-0.4498
écusson	2.40	1.44	1.2593	4.65	4.71	1.7668
édifice	4.74	1.26	-0.9985	6.15	1.19	-0.5505
édition	4.37	1.24	-1.4028	2.51	2.28	-0.3055
édredon	1.61	1.01	0.1784	2.94	6.00	4.6792
efficacité	4.47	1.34	-0.6525	2.44	1.66	-0.6475
effleurement	2.09	1.03	-0.8602	2.97	2.72	-0.3951
effroi	2.45	1.11	-1.0871	2.41	2.10	-0.3181
égalité	4.36	1.53	0.7494	3.13	3.35	0.1449
églantine	1.32	0.64	-0.6386	1.73	1.17	0.1839
église	4.55	1.32	-0.7412	6.55	0.61	-0.0984
égoïsme	3.58	1.43	-0.0880	2.60	1.85	-0.7252
élaboration	3.58	1.37	-0.5392	2.40	1.96	-0.4073
élan	3.09	1.24	-1.1180	3.87	2.89	-0.7220
élastique	4.87	1.46	0.5948	6.16	1.46	-0.4069
électrode	2.64	1.45	0.9484	4.62	3.10	-0.4620
électron	3.30	1.67	2.0661	3.77	4.04	0.7094
élégance	3.63	1.46	0.1265	3.35	2.34	-1.0160
élément	4.78	1.44	0.3453	3.19	2.76	-0.5381
éléphant	3.59	1.49	0.3786	6.81	0.35	0.3335
élève	5.83	1.16	0.0651	5.19	2.50	-0.7500
élite	3.08	1.50	0.8048	2.91	2.76	-0.3093
éloge	2.57	1.27	-0.2600	2.77	1.90	-0.8731
éloquence	2.36	1.29	0.2307	2.32	2.28	-0.0623
émail	2.76	1.72	3.0776	4.29	4.41	1.2074
embarras	3.27	1.36	-0.4344	2.91	1.85	-1.0452
embouteillage	3.61	1.42	-0.1759	5.12	2.99	-0.3195
embrochement	1.71	0.80	-1.1035	2.27	1.99	-0.2137
émeraude	2.46	0.99	-1.7808	5.40	3.46	0.4341
émission	5.47	1.40	0.9975	4.05	3.17	-0.4521
emmenthal	1.45	0.69	-0.8407	2.26	3.96	1.8691
émoi	2.24	0.99	-1.3815	2.12	1.59	-0.2502
émotion	5.36	1.07	-1.3809	2.94	2.25	-0.7829
empereur	2.69	1.35	0.1238	4.77	3.06	-0.4428
empire	3.27	1.32	-0.7223	4.00	3.20	-0.4067
emplacement	3.65	1.42	-0.1894	3.09	2.28	-0.8853
emploi	5.75	1.15	-0.1693	3.55	3.10	-0.3952
employé	5.09	1.45	0.7850	4.26	3.24	-0.3736
employée	5.27	1.31	0.0085	3.98	3.17	-0.4442
employeur	4.74	1.33	-0.5116	4.16	3.06	-0.5738
empreinte	3.88	1.33	-0.8960	5.23	2.56	-0.6629
emprunt	4.13	1.22	-1.6255	3.19	2.66	-0.6323
enclos	2.73	1.26	-0.5630	4.55	3.61	0.1230
enclume	2.01	1.13	-0.1072	3.61	5.38	2.9964
encre	3.86	1.38	-0.5308	5.59	2.43	-0.4489
encrier	1.95	0.89	-1.2747	4.93	4.28	1.2206
endive	1.77	0.91	-0.7495	3.15	4.97	2.5136
enduit	2.40	1.16	-0.6958	2.53	2.50	-0.1474
énergie	5.44	1.17	-0.6429	3.30	2.69	-0.6758
enfant	5.90	1.12	-0.0229	6.02	1.88	-0.3596
enfer	4.34	1.47	0.2562	5.16	2.76	-0.5318
enflure	3.48	1.42	-0.1192	4.87	2.99	-0.4698
engagement	4.30	1.18	-1.8260	2.60	2.13	-0.5271
engin	3.09	1.23	-1.1844	4.11	3.92	0.4842
engorgement	2.52	1.06	-1.4946	3.38	2.89	-0.5270
énigme	3.27	1.32	-0.7223	2.81	2.37	-0.5610
enjeu	3.52	1.33	-0.8034	2.23	1.44	-0.4891
ennemi	4.38	1.37	-0.4863	3.61	3.53	0.0899
ennui	4.66	1.46	0.3907	2.87	2.37	-0.6192
enrouement	2.00	1.15	0.0374	2.11	2.02	0.0374
enseignant	4.93	1.46	0.6624	5.05	2.25	-1.0532
enseigne	4.52	1.45	0.2047	4.61	2.66	-0.9126
ensemble	5.22	1.31	-0.0678	3.04	2.53	-0.6346
entaille	2.40	1.31	0.2992	3.45	4.28	1.1997
entente	4.56	1.38	-0.2988	2.86	2.07	-0.8433
enthousiasme	3.99	0.97	-3.1181	2.95	2.34	-0.7183
entonnoir	3.43	1.52	0.6973	6.25	1.17	-0.4115
entrain	3.76	1.66	1.7681	2.28	1.88	-0.3033
entreprise	4.65	1.41	-0.0032	3.94	3.06	-0.5544
entretien	4.42	1.10	-2.2553	2.95	2.19	-0.8385
entrevue	4.95	1.36	-0.0714	3.91	2.72	-0.8960
enveloppe	4.75	1.43	0.2391	6.73	0.42	0.1919
envers	4.21	1.38	-0.4855	2.52	2.56	-0.0787
envoi	3.83	1.61	1.3187	2.88	2.04	-0.8831
envol	3.27	1.56	1.1340	4.52	2.28	-1.2666
envoûtement	2.18	1.19	-0.0920	2.38	1.90	-0.4192
enzyme	3.15	1.64	1.9202	3.44	3.88	0.6231
épaisseur	4.60	1.41	-0.0437	4.29	3.03	-0.6061
épargne	4.23	1.59	1.1963	2.90	2.10	-0.8597
épaule	5.10	1.45	0.7986	6.37	1.23	-0.1965
épave	2.36	1.38	0.8761	3.73	5.48	3.1310
épée	2.97	1.41	0.2155	6.69	0.38	0.1124
éperon	1.67	0.89	-0.5920	2.04	2.96	0.9710
épi	2.88	1.56	1.5155	5.22	3.69	0.5704
épicerie	5.59	1.37	0.9969	5.54	2.13	-0.7429
épidémie	3.62	1.48	0.2878	3.63	3.10	-0.4291
épinards	3.84	1.47	0.1597	6.56	0.66	-0.0704
épine	3.24	1.41	-0.0394	5.41	2.43	-0.6234
épinette	3.29	1.48	0.4660	5.81	2.82	0.1570
épingle	4.05	1.57	0.9815	6.30	0.94	-0.4186
épisode	4.58	1.47	0.4050	2.98	2.92	-0.2030
éponge	4.13	1.36	-0.6555	6.44	1.23	-0.0824
épopée	2.40	1.27	0.0220	2.38	2.59	0.1262
époque	4.29	1.23	-1.5067	2.73	2.37	-0.4792
épouse	4.66	1.49	0.6283	5.00	2.53	-0.8500
épouvantail	2.97	1.20	-1.2565	6.32	1.56	-0.1129
époux	4.72	1.42	0.1344	5.11	2.99	-0.3264
épreuve	4.56	1.15	-1.8615	3.18	2.76	-0.5309
éprouvette	3.26	1.51	0.7293	6.16	1.64	-0.3115
équerre	2.18	1.24	0.2343	4.33	5.90	3.9313
équilibre	4.95	1.11	-1.7298	3.79	3.06	-0.5210
équipage	3.51	1.33	-0.7987	4.50	2.43	-1.1439
équipement	4.75	1.28	-0.8526	4.28	3.39	-0.2020
équitation	3.33	1.52	0.7600	5.08	3.13	-0.1953
équité	3.34	1.50	0.5910	2.27	2.28	0.0061
équivalent	4.11	1.23	-1.5643	2.66	2.34	-0.4294
érable	4.09	1.42	-0.2162	6.52	0.85	-0.0891
erreur	5.28	0.91	-2.3607	3.08	3.06	-0.1401
éruption	3.35	1.36	-0.4910	5.13	2.28	-0.9755
escadrille	1.92	1.22	0.6641	2.33	3.31	0.9426
escale	2.61	1.32	0.0262	2.66	3.20	0.4148
escalier	5.50	1.31	0.3966	6.69	0.38	0.1124
escargot	3.20	1.40	-0.0824	6.80	0.27	0.3058
esclave	3.79	1.32	-0.9580	4.93	2.02	-1.3007
escompte	2.63	1.37	0.3574	2.31	1.82	-0.3799
espadon	1.61	0.81	-0.7991	3.44	6.05	4.4260
espérance	4.18	1.44	-0.0405	2.48	1.82	-0.6000
espion	3.29	1.32	-0.7372	4.62	3.39	-0.1327
esplanade	1.81	1.01	-0.3323	1.97	2.10	0.3175
espoir	4.70	1.11	-1.9901	2.48	2.28	-0.2689
esquimau	2.86	1.39	0.1930	6.26	0.98	-0.4668
essai	4.77	1.32	-0.5540	2.83	2.43	-0.5281
essence	4.85	1.22	-1.1542	4.97	2.62	-0.7803
essieu	1.92	1.12	0.0357	3.41	5.57	3.4543
essor	2.43	1.34	0.4605	2.18	2.22	0.0862
essoufflement	3.25	1.47	0.4169	4.09	2.76	-0.8864
estime	4.76	1.19	-1.4400	2.05	1.56	-0.1576
étable	3.20	1.56	1.1895	6.14	1.42	-0.4601
établi	3.66	1.44	-0.0389	3.59	4.58	1.5941
établissement	4.01	1.40	-0.3794	4.00	3.42	-0.1514
étagère	4.61	1.41	-0.0358	5.98	1.39	-0.6924
