Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
aurore	2.94	1.20	-1.2230	4.51	4.20	0.9290
auteure	4.11	1.72	2.3177	4.11	3.28	-0.3337
automate	2.30	1.46	1.5965	2.61	2.76	-0.0006
automobile	5.09	1.52	1.3434	6.61	0.52	-0.0109
autonomie	4.32	1.43	-0.0647	2.77	2.62	-0.2979
autorisation	4.19	1.39	-0.4175	2.46	1.85	-0.5576
autruche	2.76	1.42	0.5478	6.59	0.56	-0.0379
auvent	1.92	1.15	0.2186	3.26	5.15	2.7577
avalanche	3.27	1.32	-0.7223	5.76	2.25	-0.4140
avant	6.08	1.02	-0.1682	2.97	2.76	-0.3631
avantage	5.01	1.32	-0.2861	2.20	1.54	-0.3950
avatar	1.66	1.19	1.1099	1.84	2.72	1.0599
avenir	5.23	1.20	-0.7943	2.76	1.93	-0.8441
avenue	4.40	1.58	1.1882	4.22	2.82	-0.8221
averse	2.85	1.19	-1.1804	4.41	3.76	0.2912
avertissement	4.51	1.33	-0.6980	3.18	2.46	-0.7986
aveu	2.98	1.44	0.4341	2.43	2.02	-0.4062
avion	4.83	1.33	-0.4221	6.76	0.35	0.2381
aviron	2.52	1.27	-0.1805	5.01	4.28	1.2673
avis	4.41	1.42	-0.0954	2.40	2.10	-0.3052
avoine	3.58	1.47	0.2235	5.75	2.34	-0.3520
avortement	4.02	1.46	0.0825	4.58	2.72	-0.8596
avril	5.34	1.31	0.1202	3.73	3.96	0.6088
axe	3.27	1.51	0.7217	4.40	4.08	0.7278
azote	2.77	1.59	1.9086	2.97	2.96	-0.1587
babillard	3.45	1.25	-1.3224	5.69	2.34	-0.4198
bactérie	4.48	1.64	1.7548	4.80	3.13	-0.3524
bagage	4.26	1.52	0.6228	6.18	1.25	-0.4783
bagarre	3.23	1.34	-0.5484	4.66	3.24	-0.2892
bagatelle	2.26	1.37	0.9883	3.06	4.71	2.1328
bagnole	2.45	1.45	1.2505	5.04	4.41	1.4778
bague	4.80	1.67	2.2863	6.90	0.05	0.4888
bail	3.11	1.50	0.7762	3.43	4.16	1.0267
bain	5.56	1.47	1.7025	6.76	0.32	0.2354
baiser	5.01	1.43	0.5263	6.09	1.10	-0.6704
balade	3.22	1.36	-0.3953	4.08	2.89	-0.7519
balai	4.40	1.46	0.2085	6.67	0.38	0.0758
balance	4.44	1.43	-0.0014	5.28	3.72	0.6680
balançoire	3.68	1.42	-0.1983	6.59	0.69	-0.0100
balcon	4.38	1.12	-2.1581	6.49	0.62	-0.1978
baleine	3.42	1.52	0.7031	6.88	0.16	0.4531
balise	1.89	0.94	-0.8903	2.77	4.45	1.9834
balle	4.78	1.38	-0.1091	6.61	0.72	0.0338
ballet	3.61	1.55	0.8610	6.31	1.14	-0.3280
ballon	4.49	1.45	0.1846	6.90	0.09	0.4897
baluchon	2.08	1.23	0.3749	4.98	4.67	1.8502
bambin	2.14	1.04	-0.9089	5.27	3.35	0.1908
bambou	2.79	1.45	0.7393	6.36	0.85	-0.3539
banane	5.16	1.57	1.8554	6.95	0.04	0.5890
bande	3.77	1.40	-0.3703	4.72	2.53	-0.9907
bandelette	2.19	1.48	1.9674	4.08	4.37	1.1403
banderole	2.71	1.41	0.5403	5.15	3.76	0.6201
banjo	2.43	1.17	-0.6855	6.04	3.10	0.7386
banlieue	3.52	1.39	-0.3651	4.09	3.03	-0.6089
bannière	3.09	1.40	0.0164	5.12	2.79	-0.5275
banque	5.41	1.31	0.2375	5.88	1.90	-0.5229
banquet	3.43	1.54	0.8617	5.54	1.49	-1.1536
baptême	3.55	1.56	0.9683	5.19	2.43	-0.8046
baraque	2.41	1.51	1.7963	4.23	4.20	0.8883
