word,freqlivres,freqfilms,ratio,zipf_livres,zipf_films,cgrams,tier
pagayer,0.3400,0.1300,2.5000,2.5315,2.1139,VER,intermediaire
palmeraie,0.7400,0.2900,2.5000,2.8692,2.4624,NOM,intermediaire
pasteurisé,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
pauvret,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
pigeonner,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
plazza,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
portal,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
quarte,0.1400,0.0500,2.5000,2.1461,1.6990,"ADJ, NOM",intermediaire
rachitisme,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
ratatiner,0.5400,0.2100,2.5000,2.7324,2.3222,VER,intermediaire
revanchard,0.1400,0.0500,2.5000,2.1461,1.6990,"ADJ, NOM",intermediaire
réarmer,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
réfléchi,2.6400,1.0500,2.5000,3.4216,3.0212,ADJ,debutant
rétameur,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
rôtisseur,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
scinder,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
starlette,0.5400,0.2100,2.5000,2.7324,2.3222,NOM,intermediaire
supination,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
surproduction,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
thermal,0.5400,0.2100,2.5000,2.7324,2.3222,ADJ,intermediaire
tournois,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
transmigration,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
trépan,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
vacation,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
valdinguer,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
variabilité,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
voyeurisme,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
étanchéité,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
étuvée,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
breuvage,2.0900,0.8300,2.5000,3.3201,2.9191,NOM,intermediaire
langoureux,1.6900,0.6700,2.5000,3.2279,2.8261,ADJ,intermediaire
polémique,1.4900,0.5900,2.5000,3.1732,2.7709,"ADJ, NOM",intermediaire
ignorance,16.3500,6.5400,2.4977,4.2135,3.8156,NOM,debutant
caractéristique,4.4600,1.7800,2.4972,3.6493,3.2504,"ADJ, NOM",debutant
commenter,3.5100,1.4000,2.4965,3.5453,3.1461,VER,debutant
lèpre,3.5100,1.4000,2.4965,3.5453,3.1461,NOM,debutant
objet,67.0900,26.8800,2.4954,4.8267,4.4294,NOM,debutant
accéléré,2.3600,0.9400,2.4947,3.3729,2.9731,"ADJ, NOM",intermediaire
portée,36.1500,14.4900,2.4938,4.5581,4.1611,"ADJ, NOM",debutant
tremblement,15.9500,6.3900,2.4937,4.2028,3.8055,NOM,debutant
rafle,1.9600,0.7800,2.4937,3.2923,2.8921,NOM,intermediaire
cesse,71.9600,28.8600,2.4929,4.8571,4.4603,NOM,debutant
abattu,5.0000,2.0000,2.4925,3.6990,3.3010,"ADJ, NOM",debutant
coqueluche,2.4300,0.9700,2.4898,3.3856,2.9868,NOM,intermediaire
débarras,6.9600,2.7900,2.4893,3.8426,3.4456,NOM,debutant
injustice,11.4900,4.6100,2.4892,4.0603,3.6637,NOM,debutant
archevêché,1.0100,0.4000,2.4878,3.0043,2.6021,NOM,intermediaire
décortiquer,1.0100,0.4000,2.4878,3.0043,2.6021,VER,intermediaire
libéral,3.9200,1.5700,2.4873,3.5933,3.1959,"ADJ, NOM",debutant
favorable,11.2800,4.5300,2.4868,4.0523,3.6561,ADJ,debutant
affoler,2.5000,1.0000,2.4851,3.3979,3.0000,VER,debutant
acrobatie,0.8100,0.3200,2.4848,2.9085,2.5051,NOM,intermediaire
