mot;score_v2;classe;zipf_books;ratio;categories_wikt
déchoir;1.0;Excellent;3.173;50.0;littéraire
décombre;1.0;Excellent;3.816;6.009;littéraire
déconcerter;1.0;Excellent;3.152;7.474;littéraire
déhiscence;1.0;Excellent;2.146;7.0;littéraire
déparer;1.0;Excellent;2.672;4.273;soutenu
désobligeance;1.0;Excellent;2.146;10.0;soutenu
désobligeant;1.0;Excellent;3.004;11.222;soutenu
efflorescence;1.0;Excellent;2.431;27.0;littéraire
empresser;1.0;Excellent;3.398;19.231;littéraire
enrhumé;1.0;Excellent;2.908;3.857;littéraire
entéléchie;1.0;Excellent;1.845;10.0;littéraire
extatique;1.0;Excellent;3.004;4.591;soutenu
exultation;1.0;Excellent;2.833;13.6;littéraire
faction;1.0;Excellent;3.571;5.391;soutenu
faluche;1.0;Excellent;2.146;10.0;archaïque
fantasquement;1.0;Excellent;1.845;10.0;littéraire
faucille;1.0;Excellent;3.348;4.373;poétique
faunesque;1.0;Excellent;1.845;10.0;littéraire
faunesse;1.0;Excellent;1.845;10.0;poétique
feintise;1.0;Excellent;1.845;10.0;littéraire
fleuronner;1.0;Excellent;1.845;10.0;littéraire
flexuosité;1.0;Excellent;1.845;10.0;littéraire
fluer;1.0;Excellent;1.845;10.0;littéraire
forgerie;1.0;Excellent;1.845;10.0;littéraire
foucade;1.0;Excellent;2.531;10.0;littéraire
foudroyant;1.0;Excellent;3.511;32.4;poétique
fourrier;1.0;Excellent;3.228;50.0;littéraire
frayer;1.0;Excellent;3.687;4.718;littéraire
frileux;1.0;Excellent;3.562;4.932;littéraire
froidure;1.0;Excellent;3.19;14.091;littéraire+poétique
fructueux;1.0;Excellent;3.13;4.219;poétique
futurisme;1.0;Excellent;1.845;10.0;littéraire
gaster;1.0;Excellent;2.146;14.0;archaïque
gerbe;1.0;Excellent;3.886;20.263;littéraire
geôle;1.0;Excellent;3.276;21.0;littéraire
glèbe;1.0;Excellent;2.944;1.725;littéraire
gramen;1.0;Excellent;2.301;10.0;littéraire
grand-peur;1.0;Excellent;2.301;10.0;littéraire
gravûre;1.0;Excellent;3.789;10.789;archaïque
guéret;1.0;Excellent;2.301;20.0;poétique
gémissement;1.0;Excellent;3.969;9.608;poétique
havre;1.0;Excellent;3.483;3.576;littéraire
helvétien;1.0;Excellent;1.845;10.0;poétique
helvétique;1.0;Excellent;2.833;10.0;soutenu
herbette;1.0;Excellent;1.845;10.0;poétique
hourvari;1.0;Excellent;2.613;1.519;littéraire
hyménée;1.0;Excellent;1.845;10.0;poétique
hyperbole;1.0;Excellent;2.301;2.222;littéraire
immarcescible;1.0;Excellent;1.845;10.0;littéraire
impatroniser;1.0;Excellent;1.845;10.0;littéraire
impécuniosité;1.0;Excellent;1.845;10.0;littéraire
incendier;1.0;Excellent;3.276;2.032;littéraire
incivil;1.0;Excellent;2.146;10.0;soutenu
inclément;1.0;Excellent;1.845;10.0;soutenu
incontinent;1.0;Excellent;3.033;5.4;littéraire
incréé;1.0;Excellent;2.146;10.0;littéraire
incurieux;1.0;Excellent;1.845;10.0;littéraire
indolent;1.0;Excellent;3.086;9.385;littéraire
infortune;1.0;Excellent;3.571;3.074;soutenu
infortuné;1.0;Excellent;3.246;2.411;soutenu
insomnieux;1.0;Excellent;2.301;10.0;littéraire
interlope;1.0;Excellent;2.531;10.0;soutenu
ironiser;1.0;Excellent;3.004;10.0;littéraire
jaculatoire;1.0;Excellent;1.845;10.0;littéraire
lambris;1.0;Excellent;3.19;38.75;poétique
lange;1.0;Excellent;3.19;2.067;poétique
languide;1.0;Excellent;3.107;12.8;littéraire
laudatif;1.0;Excellent;1.845;10.0;soutenu
lavandière;1.0;Excellent;3.004;50.0;littéraire
licol;1.0;Excellent;2.672;10.0;poétique
ligneux;1.0;Excellent;2.301;10.0;littéraire
lilial;1.0;Excellent;2.613;10.0;poétique
logorrhée;1.0;Excellent;2.431;4.5;littéraire
lointainement;1.0;Excellent;2.672;10.0;littéraire
loisible;1.0;Excellent;2.869;10.0;soutenu+littéraire
luminaire;1.0;Excellent;2.613;8.2;littéraire
léopardé;1.0;Excellent;1.845;10.0;littéraire
mallarméen;1.0;Excellent;1.845;10.0;littéraire
mander;1.0;Excellent;3.061;3.382;poétique
maritorne;1.0;Excellent;2.431;10.0;soutenu
marri;1.0;Excellent;2.613;13.667;littéraire
matrône;1.0;Excellent;3.334;9.391;archaïque
matutinal;1.0;Excellent;2.146;10.0;littéraire
melliflue;1.0;Excellent;1.845;10.0;littéraire
mercuriale;1.0;Excellent;1.845;10.0;littéraire
militer;1.0;Excellent;2.978;5.938;archaïque
modérateur;1.0;Excellent;1.845;7.0;soutenu
moindrement;1.0;Excellent;1.845;3.5;littéraire
monder;1.0;Excellent;1.845;10.0;littéraire
moutonner;1.0;Excellent;2.431;10.0;littéraire
mouvoir;1.0;Excellent;3.629;7.345;littéraire
muser;1.0;Excellent;2.146;10.0;littéraire
myrte;1.0;Excellent;2.908;10.0;littéraire
mânes;1.0;Excellent;2.613;41.0;poétique
