mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
lavandière;0.7666;0.5932;1.0;3.004;50.0;littéraire;Art & Langage;non;Excellent
tourte;0.7638;0.6277;1.0;2.732;0.524;poétique;Nature & Cosmos;non;Excellent
frileux;0.7625;0.69;0.85;3.562;4.932;littéraire;Esprit & Caractère;non;Excellent
sommeiller;0.7621;0.6241;1.0;3.276;37.8;poétique;Nature & Cosmos;non;Excellent
splendide;0.7612;0.6874;0.85;3.863;0.472;littéraire;Art & Langage;non;Excellent
vestige;0.7612;0.6274;0.85;3.789;6.543;soutenu;Temps & Éphémère;non;Excellent
courtil;0.761;0.622;1.0;1.845;10.0;poétique;Nature & Cosmos;non;Excellent
faucille;0.7598;0.6195;1.0;3.348;4.373;poétique;Nature & Cosmos;non;Excellent
fondement;0.759;0.618;1.0;3.386;1.381;poétique;Nature & Cosmos;non;Excellent
ailé;0.7588;0.6176;1.0;3.152;2.0;poétique;Nature & Cosmos;non;Excellent
blâme;0.7586;0.6821;0.85;3.607;2.189;littéraire;Art & Langage;non;Excellent
orbe;0.7575;0.6149;1.0;3.004;2.196;poétique;Nature & Cosmos;non;Excellent
chalumeau;0.7574;0.6148;1.0;3.373;1.484;poétique;Lumière & Ombres;non;Excellent
cavale;0.757;0.619;0.85;3.629;1.101;littéraire+poétique;Nature & Cosmos;non;Excellent
faunesse;0.7563;0.6126;1.0;1.845;10.0;poétique;Esprit & Caractère;non;Excellent
tribut;0.7546;0.6093;1.0;3.334;3.13;poétique;Esprit & Caractère;non;Excellent
virginité;0.7544;0.6737;0.85;3.545;0.826;littéraire;Sentiments & Psyché;non;Excellent
languir;0.7544;0.6088;1.0;3.033;0.745;poétique;Art & Langage;non;Excellent
simarre;0.7543;0.6086;1.0;2.146;10.0;poétique;Nature & Cosmos;non;Excellent
mutiner;0.7538;0.6076;1.0;2.146;0.778;poétique;Esprit & Caractère;non;Excellent
pôle;0.7533;0.6067;1.0;3.442;0.888;poétique;Nature & Cosmos;non;Excellent
lilial;0.753;0.6059;1.0;2.613;10.0;poétique;Nature & Cosmos;non;Excellent
encor;0.7527;0.6054;1.0;2.431;0.643;poétique;Sentiments & Psyché;non;Excellent
colombe;0.7526;0.6101;0.85;3.545;0.691;littéraire+poétique;Nature & Cosmos;non;Excellent
aquilon;0.7518;0.6035;1.0;2.672;10.0;poétique;Nature & Cosmos;non;Excellent
