mot;score_v3;classe;zipf_books;ratio;categories_wikt
furie;1.0;Excellent;3.744;2.702;poétique
futurisme;1.0;Excellent;1.845;10.0;littéraire
gaster;1.0;Excellent;2.146;14.0;archaïque
gay;1.0;Excellent;2.531;0.019;archaïque
gerbe;1.0;Excellent;3.886;20.263;littéraire
geôle;1.0;Excellent;3.276;21.0;littéraire
gifle;1.0;Excellent;3.994;2.739;archaïque
glacer;1.0;Excellent;3.886;4.231;poétique
glèbe;1.0;Excellent;2.944;1.725;littéraire
gouffre;1.0;Excellent;4.055;3.309;soutenu
gramen;1.0;Excellent;2.301;10.0;littéraire
grand-peur;1.0;Excellent;2.301;10.0;littéraire
gravûre;1.0;Excellent;3.789;10.789;archaïque
guerrier;1.0;Excellent;3.789;0.801;soutenu
guéret;1.0;Excellent;2.301;20.0;poétique
gémissement;1.0;Excellent;3.969;9.608;poétique
habitat;1.0;Excellent;2.944;0.672;littéraire
hai;1.0;Excellent;1.845;0.055;archaïque
havre;1.0;Excellent;3.483;3.576;littéraire
helvétien;1.0;Excellent;1.845;10.0;poétique
herbette;1.0;Excellent;1.845;10.0;poétique
homicide;1.0;Excellent;2.869;0.418;soutenu
hourvari;1.0;Excellent;2.613;1.519;littéraire
huis;1.0;Excellent;3.26;3.792;littéraire
humilié;1.0;Excellent;3.334;1.982;archaïque
hymen;1.0;Excellent;2.531;0.166;poétique
hyménée;1.0;Excellent;1.845;10.0;poétique
hyperbole;1.0;Excellent;2.301;2.222;littéraire
immarcescible;1.0;Excellent;1.845;10.0;littéraire
immoler;1.0;Excellent;2.613;0.532;littéraire
impatient;1.0;Excellent;3.963;1.242;poétique
impatroniser;1.0;Excellent;1.845;10.0;littéraire
impécuniosité;1.0;Excellent;1.845;10.0;littéraire
incendier;1.0;Excellent;3.276;2.032;littéraire
incivil;1.0;Excellent;2.146;10.0;soutenu
inclément;1.0;Excellent;1.845;10.0;soutenu
incontinent;1.0;Excellent;3.033;5.4;littéraire
incréé;1.0;Excellent;2.146;10.0;littéraire
incurieux;1.0;Excellent;1.845;10.0;littéraire
indolent;1.0;Excellent;3.086;9.385;littéraire
infortune;1.0;Excellent;3.571;3.074;soutenu
infortuné;1.0;Excellent;3.246;2.411;soutenu
insomnieux;1.0;Excellent;2.301;10.0;littéraire
insulter;1.0;Excellent;3.808;0.95;littéraire
interdit;1.0;Excellent;3.789;1.223;littéraire
interlope;1.0;Excellent;2.531;10.0;soutenu
iris;1.0;Excellent;3.808;1.634;littéraire
ironiser;1.0;Excellent;3.004;10.0;littéraire
ivoire;1.0;Excellent;3.894;4.0;poétique
jaculatoire;1.0;Excellent;1.845;10.0;littéraire
jais;1.0;Excellent;3.834;15.86;littéraire
jà;1.0;Excellent;2.613;0.402;archaïque
lacs;1.0;Excellent;3.933;2.383;archaïque
lambris;1.0;Excellent;3.19;38.75;poétique
lange;1.0;Excellent;3.19;2.067;poétique
languide;1.0;Excellent;3.107;12.8;littéraire
languir;1.0;Excellent;3.033;0.745;poétique
lare;1.0;Excellent;1.845;10.0;poétique
laudatif;1.0;Excellent;1.845;10.0;soutenu
lavandière;1.0;Excellent;3.004;50.0;littéraire
lez;1.0;Excellent;2.146;0.389;archaïque
librairie;1.0;Excellent;3.916;1.641;archaïque
licol;1.0;Excellent;2.672;10.0;poétique
lie;1.0;Excellent;3.362;3.026;poétique
ligneux;1.0;Excellent;2.301;10.0;littéraire
lilial;1.0;Excellent;2.613;10.0;poétique
logorrhée;1.0;Excellent;2.431;4.5;littéraire
lointainement;1.0;Excellent;2.672;10.0;littéraire
loisible;1.0;Excellent;2.869;10.0;littéraire+soutenu
lopin;1.0;Excellent;2.531;0.654;littéraire
luminaire;1.0;Excellent;2.613;8.2;littéraire
lyre;1.0;Excellent;3.061;2.091;littéraire
lèche;1.0;Excellent;2.833;0.493;archaïque
léopardé;1.0;Excellent;1.845;10.0;littéraire
lû;1.0;Excellent;3.19;1.582;archaïque
maint;1.0;Excellent;2.613;0.323;littéraire
mallarméen;1.0;Excellent;1.845;10.0;littéraire
mander;1.0;Excellent;3.061;3.382;poétique
maritorne;1.0;Excellent;2.431;10.0;soutenu
marri;1.0;Excellent;2.613;13.667;littéraire
martyre;1.0;Excellent;3.784;1.831;poétique
mary;1.0;Excellent;2.301;0.357;archaïque
matrône;1.0;Excellent;3.334;9.391;archaïque
matutinal;1.0;Excellent;2.146;10.0;littéraire
melliflue;1.0;Excellent;1.845;10.0;littéraire
mercuriale;1.0;Excellent;1.845;10.0;littéraire
messer;1.0;Excellent;2.978;0.633;poétique
meûnier;1.0;Excellent;2.869;0.974;archaïque
milice;1.0;Excellent;3.386;0.748;soutenu
militer;1.0;Excellent;2.978;5.938;archaïque
missile;1.0;Excellent;2.613;0.055;archaïque
mixte;1.0;Excellent;3.362;1.031;archaïque
modérateur;1.0;Excellent;1.845;7.0;soutenu
moindrement;1.0;Excellent;1.845;3.5;littéraire
monder;1.0;Excellent;1.845;10.0;littéraire
morné;1.0;Excellent;4.16;17.852;archaïque
moutonner;1.0;Excellent;2.431;10.0;littéraire
mouvoir;1.0;Excellent;3.629;7.345;littéraire
muraille;1.0;Excellent;4.042;8.602;soutenu
muser;1.0;Excellent;2.146;10.0;littéraire
mutiner;1.0;Excellent;2.146;0.778;poétique
myrte;1.0;Excellent;2.908;10.0;littéraire
mânes;1.0;Excellent;2.613;41.0;poétique
médianoche;1.0;Excellent;2.672;10.0;littéraire
méger;1.0;Excellent;2.732;0.651;archaïque
nacelle;1.0;Excellent;3.373;2.269;littéraire
